t=2025-11-28T17:47:12-0500 lvl=info msg="no configuration paths supplied"
t=2025-11-28T17:47:12-0500 lvl=info msg="using configuration at default config path" path="/Users/bigdaddy/Library/Application Support/ngrok/ngrok.yml"
t=2025-11-28T17:47:12-0500 lvl=info msg="open config file" path="/Users/bigdaddy/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2025-11-28T18:04:38-0500 lvl=info msg="join connections" obj=join id=568f350bd152 l=[::1]:3050 r=99.131.53.219:52977
t=2025-11-28T18:04:38-0500 lvl=info msg="join connections" obj=join id=f5a1cb2db083 l=[::1]:3050 r=99.131.53.219:52977
t=2025-11-28T18:04:38-0500 lvl=info msg="join connections" obj=join id=d082d1225b4a l=[::1]:3050 r=99.131.53.219:52977
t=2025-11-28T18:04:38-0500 lvl=info msg="join connections" obj=join id=88f1d5805d31 l=[::1]:3050 r=99.131.53.219:52977
t=2025-11-28T18:04:38-0500 lvl=info msg="join connections" obj=join id=bcec46a130ff l=[::1]:3050 r=99.131.53.219:52977
t=2025-11-28T18:04:38-0500 lvl=info msg="join connections" obj=join id=7ecfaf2bf6c8 l=[::1]:3050 r=99.131.53.219:52977
t=2025-11-28T18:04:38-0500 lvl=info msg="join connections" obj=join id=636102f002ac l=[::1]:3050 r=99.131.53.219:52977
t=2025-11-28T18:04:38-0500 lvl=info msg="join connections" obj=join id=a7c3bdc1a1de l=[::1]:3050 r=99.131.53.219:52977
t=2025-11-28T18:04:38-0500 lvl=info msg="join connections" obj=join id=e6075834d498 l=[::1]:3050 r=99.131.53.219:52977
t=2025-11-28T18:04:38-0500 lvl=info msg="join connections" obj=join id=0faaf08f61c2 l=[::1]:3050 r=99.131.53.219:52977
t=2025-11-28T18:04:38-0500 lvl=info msg="join connections" obj=join id=27f516ee668b l=[::1]:3050 r=99.131.53.219:52977
t=2025-11-28T18:04:38-0500 lvl=info msg="join connections" obj=join id=77b282a3c515 l=[::1]:3050 r=99.131.53.219:52977
t=2025-11-28T18:04:38-0500 lvl=info msg="join connections" obj=join id=290396ab926e l=[::1]:3050 r=99.131.53.219:52977
t=2025-11-28T18:04:38-0500 lvl=info msg="join connections" obj=join id=3bd3f8450368 l=[::1]:3050 r=99.131.53.219:52977
t=2025-11-28T18:04:38-0500 lvl=info msg="join connections" obj=join id=d27a66abd1db l=[::1]:3050 r=99.131.53.219:52977
t=2025-11-28T18:04:38-0500 lvl=info msg="join connections" obj=join id=780acbddf0cf l=[::1]:3050 r=99.131.53.219:52977
t=2025-11-28T18:04:38-0500 lvl=info msg="join connections" obj=join id=0c403ba955c4 l=[::1]:3050 r=99.131.53.219:52977
t=2025-11-28T18:04:38-0500 lvl=info msg="join connections" obj=join id=0226f36f7350 l=[::1]:3050 r=99.131.53.219:52977
t=2025-11-28T18:04:38-0500 lvl=info msg="join connections" obj=join id=7aff39762b3b l=[::1]:3050 r=99.131.53.219:53015
t=2025-11-28T18:04:47-0500 lvl=info msg="join connections" obj=join id=220c82a2251c l=[::1]:3050 r=99.131.53.219:53023
t=2025-11-28T18:04:50-0500 lvl=info msg="join connections" obj=join id=b1c8b37a2bdc l=[::1]:3050 r=99.131.53.219:53023
t=2025-11-28T18:04:50-0500 lvl=info msg="join connections" obj=join id=4780a45a8d4c l=[::1]:3050 r=99.131.53.219:53023
t=2025-11-28T18:04:50-0500 lvl=info msg="join connections" obj=join id=0e0f5ee7c392 l=[::1]:3050 r=99.131.53.219:53023
t=2025-11-28T18:04:50-0500 lvl=info msg="join connections" obj=join id=d3dc55f0a856 l=[::1]:3050 r=99.131.53.219:53023
t=2025-11-28T18:04:50-0500 lvl=info msg="join connections" obj=join id=c6d57122f670 l=[::1]:3050 r=99.131.53.219:53023
t=2025-11-28T18:04:50-0500 lvl=info msg="join connections" obj=join id=f85d563083f8 l=[::1]:3050 r=99.131.53.219:53023
t=2025-11-28T18:04:50-0500 lvl=info msg="join connections" obj=join id=001841fa9228 l=[::1]:3050 r=99.131.53.219:53023
t=2025-11-28T18:04:50-0500 lvl=info msg="join connections" obj=join id=91b6bad43e3a l=[::1]:3050 r=99.131.53.219:53023
t=2025-11-28T18:04:50-0500 lvl=info msg="join connections" obj=join id=85c8986537de l=[::1]:3050 r=99.131.53.219:53023
t=2025-11-28T18:04:50-0500 lvl=info msg="join connections" obj=join id=6b03665395f3 l=[::1]:3050 r=99.131.53.219:53023
t=2025-11-28T18:04:50-0500 lvl=info msg="join connections" obj=join id=38f89c081913 l=[::1]:3050 r=99.131.53.219:53023
t=2025-11-28T18:04:50-0500 lvl=info msg="join connections" obj=join id=9859ced0a5fb l=[::1]:3050 r=99.131.53.219:53023
t=2025-11-28T18:04:50-0500 lvl=info msg="join connections" obj=join id=bc29c6b058f1 l=[::1]:3050 r=99.131.53.219:53023
t=2025-11-28T18:04:50-0500 lvl=info msg="join connections" obj=join id=aaaaaed5c3dd l=[::1]:3050 r=99.131.53.219:53023
t=2025-11-28T18:04:50-0500 lvl=info msg="join connections" obj=join id=e878b42b2805 l=[::1]:3050 r=99.131.53.219:53023
